uid,n_interactions,n_questions,n_kcs,accuracy_total,repeat_rate,first_accuracy,repeat_accuracy,repeat_gain,sequence_duration_days,activity_bucket,cohort,x_pca,y_pca,x_view,y_view,projection_method
0,289,263,139,0.844291,0.079585,0.845865,0.826087,-0.019778,257.936956,media,mixed_profile,-0.40273557461113474,-1.1640853244953488,-0.40273557461113474,-1.1640853244953488,pca
1,237,191,120,0.759494,0.067511,0.769231,0.625,-0.144231,315.586979,baja,mixed_profile,-2.265429362454926,-0.2646582727606258,-2.265429362454926,-0.2646582727606258,pca
6,381,329,166,0.91601,0.11811,0.916667,0.911111,-0.005556,215.10206,alta,high_accuracy_low_repeat,1.4045612179533173,-1.016636143376086,1.4045612179533173,-1.016636143376086,pca
7,322,298,154,0.84472,0.074534,0.845638,0.833333,-0.012304,317.632222,media,mixed_profile,0.3317228059521305,-0.4757332566454365,0.3317228059521305,-0.4757332566454365,pca
10,374,319,136,0.502674,0.144385,0.490625,0.574074,0.083449,322.36147,alta,mixed_profile,-1.9076239093351444,2.7519893511411295,-1.9076239093351444,2.7519893511411295,pca
11,695,583,232,0.968345,0.132374,0.970149,0.956522,-0.013628,322.21463,muy alta,high_accuracy_low_repeat,5.818607678635943,2.093815773575893,5.818607678635943,2.093815773575893,pca
18,505,399,185,0.89901,0.134653,0.913043,0.808824,-0.10422,317.000023,muy alta,high_accuracy_low_repeat,2.5287809979726665,1.1045981742526292,2.5287809979726665,1.1045981742526292,pca
20,419,376,192,0.708831,0.093079,0.713158,0.666667,-0.046491,298.503148,muy alta,mixed_profile,0.464605973798333,2.1026719002825063,0.464605973798333,2.1026719002825063,pca
23,746,594,198,0.906166,0.135389,0.908527,0.891089,-0.017438,320.655926,muy alta,high_accuracy_low_repeat,5.0558791626367565,2.4900596308356735,5.0558791626367565,2.4900596308356735,pca
26,253,227,126,0.509881,0.098814,0.526316,0.36,-0.166316,329.945949,baja,mixed_profile,-3.8987848166648527,2.6772800433810797,-3.8987848166648527,2.6772800433810797,pca
